ausencia_id,empleado_id,fecha_inicio,fecha_fin,tipo_ausencia,dias_ausencia
59,14,2022-06-14,2022-07-06,Vacaciones,22
60,27,2021-08-16,2021-09-05,Vacaciones,20
61,12,2025-02-13,2025-03-05,Vacaciones,20
62,29,2024-02-09,2024-03-02,Vacaciones,22
63,27,2024-02-22,2024-03-23,Vacaciones,30
64,12,2022-03-23,2022-04-07,Vacaciones,15
65,16,2025-07-27,2025-07-28,Permiso,1
66,19,2022-01-24,2022-01-26,Permiso,2
67,11,2024-02-06,2024-02-21,Vacaciones,15
68,14,2025-12-10,2026-01-01,Vacaciones,22
69,4,2023-11-19,2023-12-11,Vacaciones,22
70,5,2025-06-16,2025-06-17,Formación,1
71,12,2023-06-21,2023-07-06,Vacaciones,15
72,6,2021-02-22,2021-03-19,Vacaciones,25
73,15,2024-07-14,2024-08-13,Vacaciones,30
74,21,2025-02-04,2025-03-01,Vacaciones,25
75,20,2025-08-25,2025-09-09,Vacaciones,15
76,3,2022-08-31,2022-09-13,Baja Médica,13
77,3,2021-11-13,2021-12-05,Baja Médica,22
78,30,2023-01-04,2023-01-24,Vacaciones,20
79,16,2021-02-27,2021-03-29,Vacaciones,30
80,30,2022-09-21,2022-10-16,Vacaciones,25
81,22,2025-05-03,2025-05-25,Vacaciones,22
82,17,2022-02-01,2022-02-21,Vacaciones,20
83,19,2021-10-28,2021-11-01,Formación,4
84,4,2024-01-11,2024-02-02,Vacaciones,22
85,22,2025-03-04,2025-03-27,Baja Médica,23
86,1,2023-07-06,2023-07-21,Baja Médica,15
87,25,2023-08-06,2023-08-10,Baja Médica,4
88,20,2025-06-01,2025-06-16,Vacaciones,15
89,21,2025-12-04,2025-12-11,Baja Médica,7
90,15,2025-04-16,2025-05-15,Baja Médica,29
91,25,2021-09-03,2021-10-03,Vacaciones,30
92,1,2023-03-20,2023-04-04,Vacaciones,15
93,27,2025-12-16,2025-12-31,Vacaciones,15
94,21,2025-10-06,2025-10-26,Vacaciones,20
95,13,2025-06-02,2025-06-24,Vacaciones,22
96,23,2024-01-19,2024-02-13,Baja Médica,25
97,6,2021-04-26,2021-05-16,Vacaciones,20
98,29,2024-11-21,2024-11-24,Permiso,3
99,5,2025-09-10,2025-09-20,Baja Médica,10
100,30,2021-06-01,2021-06-26,Vacaciones,25
101,2,2024-05-24,2024-06-18,Vacaciones,25
102,26,2022-01-24,2022-02-15,Vacaciones,22
103,10,2021-07-21,2021-08-15,Vacaciones,25
104,18,2021-02-17,2021-02-18,Formación,1
105,29,2021-06-14,2021-07-08,Baja Médica,24
106,20,2022-08-06,2022-08-21,Vacaciones,15
107,11,2023-04-13,2023-05-08,Vacaciones,25
108,12,2023-08-13,2023-09-10,Baja Médica,28
109,20,2022-11-05,2022-12-01,Baja Médica,26
110,25,2024-12-25,2025-01-16,Vacaciones,22
111,18,2025-05-20,2025-05-22,Permiso,2
112,11,2024-01-25,2024-01-26,Permiso,1
113,24,2021-06-07,2021-07-02,Baja Médica,25
114,14,2023-10-09,2023-10-29,Vacaciones,20
115,13,2023-04-09,2023-04-29,Baja Médica,20
116,6,2023-02-12,2023-02-18,Baja Médica,6
117,3,2025-03-04,2025-03-19,Vacaciones,15
118,12,2023-12-07,2024-01-04,Baja Médica,28
119,28,2024-07-08,2024-07-19,Baja Médica,11
120,2,2021-09-01,2021-09-02,Formación,1
