cliente_id,nombre_cliente,tipo_cliente,zona_id,nombre_zona,fecha_alta,activo
133,Supermercado Tejera,Supermercado,9,Leganés,2020-04-01,Sí
134,Bar Lledó,Bar,9,Leganés,2025-09-13,Sí
135,Restaurante Fabra,Restaurante,2,Madrid Norte,2020-11-13,Sí
136,Supermercado Márquez,Supermercado,2,Madrid Norte,2018-08-12,Sí
137,Bar Laguna,Bar,8,Getafe,2026-02-19,Sí
138,Bar Serra,Bar,5,Madrid Oeste,2019-02-06,Sí
139,Supermercado Vives,Supermercado,2,Madrid Norte,2023-09-04,Sí
140,Supermercado Raya,Supermercado,2,Madrid Norte,2023-10-26,Sí
141,Bar Sabater,Bar,4,Madrid Este,2018-08-03,Sí
142,Bar Robles,Bar,8,Getafe,2023-10-29,Sí
143,Supermercado Almagro,Supermercado,8,Getafe,2016-09-08,Sí
144,Restaurante Ledesma,Restaurante,4,Madrid Este,2019-01-23,Sí
145,Bar Menéndez,Bar,3,Madrid Sur,2021-08-16,Sí
146,Bar Lladó,Bar,8,Getafe,2016-10-21,Sí
147,Gasolinera Isern,Gasolinera,9,Leganés,2019-05-18,Sí
148,Bar Arenas,Bar,1,Madrid Centro,2023-11-09,Sí
149,Supermercado Coll,Supermercado,4,Madrid Este,2023-06-25,Sí
150,Gasolinera Alegria,Gasolinera,5,Madrid Oeste,2024-10-29,Sí
151,Tienda Camps,Tienda,2,Madrid Norte,2022-04-11,Sí
152,Bar Camino,Bar,6,Alcobendas,2021-04-15,Sí
153,Bar Montenegro,Bar,6,Alcobendas,2023-10-18,Sí
154,Gasolinera Busquets,Gasolinera,9,Leganés,2017-03-25,Sí
155,Gasolinera Lozano,Gasolinera,1,Madrid Centro,2018-01-22,No
156,Restaurante Martín,Restaurante,1,Madrid Centro,2018-09-11,Sí
157,Bar Pareja,Bar,5,Madrid Oeste,2022-02-15,Sí
158,Gasolinera Rivero,Gasolinera,3,Madrid Sur,2020-01-08,Sí
159,Bar Guerrero,Bar,3,Madrid Sur,2024-07-28,Sí
160,Bar Novoa,Bar,6,Alcobendas,2022-10-26,Sí
161,Gasolinera Ortega,Gasolinera,5,Madrid Oeste,2019-12-21,Sí
162,Supermercado Benítez,Supermercado,12,Fuenlabrada,2020-06-09,Sí
163,Bar Segura,Bar,3,Madrid Sur,2016-08-16,Sí
164,Restaurante Macias,Restaurante,5,Madrid Oeste,2021-04-21,Sí
165,Supermercado Araujo,Supermercado,7,San Sebastián de los Reyes,2024-09-10,Sí
166,Tienda Lamas,Tienda,6,Alcobendas,2023-07-15,Sí
167,Bar Torre,Bar,1,Madrid Centro,2021-09-02,Sí
168,Bar Yuste,Bar,10,Móstoles,2018-03-23,Sí
169,Bar Jódar,Bar,2,Madrid Norte,2021-07-04,Sí
170,Restaurante Grande,Restaurante,8,Getafe,2025-08-02,Sí
171,Gasolinera Grau,Gasolinera,5,Madrid Oeste,2018-06-19,Sí
172,Gasolinera Segarra,Gasolinera,8,Getafe,2018-07-27,Sí
173,Bar Pozuelo,Bar,8,Getafe,2024-04-02,Sí
174,Supermercado Solana,Supermercado,5,Madrid Oeste,2021-09-19,Sí
175,Tienda Estévez,Tienda,2,Madrid Norte,2022-12-11,Sí
176,Bar Galán,Bar,5,Madrid Oeste,2026-02-07,Sí
177,Bar Solsona,Bar,4,Madrid Este,2017-09-25,Sí
178,Bar Pou,Bar,2,Madrid Norte,2017-05-23,Sí
179,Bar Herrero,Bar,1,Madrid Centro,2022-12-13,No
180,Bar Vall,Bar,2,Madrid Norte,2018-08-21,Sí
181,Bar Salas,Bar,5,Madrid Oeste,2024-01-14,Sí
182,Bar Bartolomé,Bar,6,Alcobendas,2024-12-12,No
183,Gasolinera Ayala,Gasolinera,5,Madrid Oeste,2025-11-20,Sí
184,Supermercado Pareja,Supermercado,4,Madrid Este,2020-09-20,Sí
185,Bar Carranza,Bar,3,Madrid Sur,2017-08-15,Sí
186,Tienda Cabrero,Tienda,12,Fuenlabrada,2024-08-14,Sí
187,Supermercado Salazar,Supermercado,6,Alcobendas,2020-05-24,No
188,Bar Hernández,Bar,2,Madrid Norte,2023-06-20,Sí
189,Bar Maestre,Bar,8,Getafe,2022-03-27,Sí
190,Gasolinera Uriarte,Gasolinera,1,Madrid Centro,2025-10-10,Sí
191,Restaurante Piña,Restaurante,12,Fuenlabrada,2017-02-25,Sí
192,Supermercado Espada,Supermercado,10,Móstoles,2019-12-09,Sí
193,Bar Sala,Bar,1,Madrid Centro,2024-02-01,Sí
194,Restaurante Cabañas,Restaurante,5,Madrid Oeste,2022-06-10,No
195,Restaurante Portero,Restaurante,12,Fuenlabrada,2020-07-09,Sí
196,Bar Gimenez,Bar,12,Fuenlabrada,2016-08-24,Sí
197,Tienda Barberá,Tienda,1,Madrid Centro,2018-12-09,Sí
198,Bar Mora,Bar,3,Madrid Sur,2020-03-27,No
199,Bar Haro,Bar,3,Madrid Sur,2020-01-26,Sí
200,Supermercado Villar,Supermercado,3,Madrid Sur,2024-05-18,Sí
201,Tienda Puerta,Tienda,5,Madrid Oeste,2024-12-22,Sí
202,Restaurante Bueno,Restaurante,6,Alcobendas,2021-10-01,Sí
203,Tienda Rius,Tienda,9,Leganés,2016-12-12,Sí
204,Tienda Salgado,Tienda,1,Madrid Centro,2026-03-16,Sí
205,Restaurante Castillo,Restaurante,6,Alcobendas,2017-05-18,Sí
206,Bar Bermejo,Bar,5,Madrid Oeste,2024-11-25,Sí
207,Bar Andrés,Bar,9,Leganés,2020-07-11,Sí
208,Bar Valenzuela,Bar,4,Madrid Este,2025-03-10,No
209,Bar Chaves,Bar,4,Madrid Este,2022-11-08,Sí
210,Bar Escalona,Bar,9,Leganés,2021-03-25,Sí
211,Gasolinera Lobo,Gasolinera,10,Móstoles,2023-06-16,Sí
212,Bar Pozo,Bar,2,Madrid Norte,2017-12-05,Sí
213,Bar Olivares,Bar,5,Madrid Oeste,2023-09-11,Sí
214,Tienda Valera,Tienda,8,Getafe,2017-05-20,Sí
215,Bar Tomas,Bar,12,Fuenlabrada,2019-07-19,Sí
216,Tienda Rebollo,Tienda,5,Madrid Oeste,2025-03-27,Sí
217,Supermercado Aguirre,Supermercado,1,Madrid Centro,2017-06-30,No
218,Bar Castañeda,Bar,1,Madrid Centro,2016-08-12,No
219,Bar Leiva,Bar,1,Madrid Centro,2023-05-14,Sí
220,Restaurante Carnero,Restaurante,1,Madrid Centro,2021-02-08,Sí
221,Bar Cañizares,Bar,2,Madrid Norte,2016-12-28,Sí
222,Gasolinera Méndez,Gasolinera,9,Leganés,2025-04-20,Sí
223,Tienda Aller,Tienda,5,Madrid Oeste,2017-12-20,Sí
224,Tienda Pedro,Tienda,8,Getafe,2024-02-06,Sí
225,Bar Barberá,Bar,3,Madrid Sur,2022-05-30,Sí
226,Supermercado Moraleda,Supermercado,6,Alcobendas,2017-08-07,Sí
227,Bar Gisbert,Bar,1,Madrid Centro,2024-12-05,Sí
228,Bar Contreras,Bar,1,Madrid Centro,2020-10-25,Sí
229,Bar Franco,Bar,3,Madrid Sur,2017-01-30,Sí
230,Bar Pou,Bar,2,Madrid Norte,2021-06-04,No
231,Bar Querol,Bar,2,Madrid Norte,2017-05-02,Sí
232,Bar Atienza,Bar,5,Madrid Oeste,2023-08-21,Sí
233,Bar Cifuentes,Bar,10,Móstoles,2019-02-28,Sí
234,Restaurante Doménech,Restaurante,1,Madrid Centro,2025-06-27,Sí
235,Tienda Pérez,Tienda,4,Madrid Este,2021-05-06,Sí
236,Bar Arrieta,Bar,3,Madrid Sur,2022-04-28,No
237,Bar Hoyos,Bar,11,Alcorcón,2025-09-23,Sí
238,Bar Lumbreras,Bar,5,Madrid Oeste,2020-10-07,No
239,Bar Carretero,Bar,4,Madrid Este,2022-03-02,Sí
240,Bar Velázquez,Bar,3,Madrid Sur,2017-07-27,Sí
241,Restaurante Quero,Restaurante,9,Leganés,2021-03-14,Sí
242,Restaurante Duran,Restaurante,11,Alcorcón,2019-10-23,Sí
243,Bar Díez,Bar,3,Madrid Sur,2020-08-28,Sí
244,Bar Manzanares,Bar,4,Madrid Este,2024-04-04,Sí
245,Bar Amo,Bar,9,Leganés,2021-08-06,Sí
246,Tienda Cordero,Tienda,2,Madrid Norte,2021-10-14,No
247,Tienda Palomo,Tienda,3,Madrid Sur,2017-09-12,Sí
248,Tienda Quiroga,Tienda,1,Madrid Centro,2022-11-28,Sí
249,Restaurante Miró,Restaurante,8,Getafe,2016-11-16,Sí
250,Tienda Olmo,Tienda,3,Madrid Sur,2016-10-13,Sí
251,Bar Larrañaga,Bar,3,Madrid Sur,2018-10-13,Sí
252,Gasolinera Narváez,Gasolinera,1,Madrid Centro,2020-09-14,No
253,Tienda Valls,Tienda,6,Alcobendas,2018-11-01,Sí
254,Tienda Cózar,Tienda,2,Madrid Norte,2018-10-21,Sí
255,Bar Montoya,Bar,2,Madrid Norte,2026-05-17,Sí
256,Restaurante Conesa,Restaurante,5,Madrid Oeste,2023-10-04,No
257,Bar Pinedo,Bar,8,Getafe,2022-05-24,Sí
258,Bar Soto,Bar,8,Getafe,2021-08-22,Sí
259,Restaurante Salinas,Restaurante,6,Alcobendas,2024-05-21,Sí
260,Bar Aguado,Bar,3,Madrid Sur,2021-11-25,Sí
261,Gasolinera Blanes,Gasolinera,3,Madrid Sur,2022-01-12,Sí
262,Restaurante Escalona,Restaurante,8,Getafe,2017-02-21,Sí
263,Bar Baeza,Bar,7,San Sebastián de los Reyes,2023-06-25,Sí
264,Tienda Zurita,Tienda,2,Madrid Norte,2024-04-14,Sí
265,Bar Valera,Bar,1,Madrid Centro,2019-04-22,Sí
266,Restaurante Carlos,Restaurante,8,Getafe,2022-11-30,Sí
267,Restaurante Arranz,Restaurante,9,Leganés,2026-05-29,Sí
268,Tienda Toledo,Tienda,4,Madrid Este,2022-12-10,Sí
269,Bar Vera,Bar,3,Madrid Sur,2022-01-01,No
270,Bar Iniesta,Bar,1,Madrid Centro,2016-10-18,No
271,Tienda Belmonte,Tienda,5,Madrid Oeste,2023-08-19,Sí
272,Supermercado Muñoz,Supermercado,5,Madrid Oeste,2025-06-10,Sí
273,Tienda Rivera,Tienda,3,Madrid Sur,2022-12-05,Sí
274,Supermercado Franco,Supermercado,9,Leganés,2021-03-27,Sí
275,Bar Maza,Bar,4,Madrid Este,2020-12-28,Sí
276,Gasolinera Diego,Gasolinera,5,Madrid Oeste,2022-07-30,Sí
277,Restaurante Gordillo,Restaurante,7,San Sebastián de los Reyes,2019-10-04,Sí
278,Bar Benavente,Bar,11,Alcorcón,2019-05-27,Sí
279,Gasolinera Nebot,Gasolinera,2,Madrid Norte,2022-02-01,Sí
280,Tienda Villena,Tienda,7,San Sebastián de los Reyes,2017-05-11,Sí
281,Tienda Portillo,Tienda,2,Madrid Norte,2017-04-10,Sí
282,Bar Priego,Bar,8,Getafe,2025-08-14,Sí
283,Bar Torrens,Bar,8,Getafe,2023-01-11,Sí
284,Gasolinera Gaya,Gasolinera,5,Madrid Oeste,2024-09-03,Sí
285,Tienda Velázquez,Tienda,1,Madrid Centro,2025-01-09,No
286,Bar Sáenz,Bar,9,Leganés,2022-09-12,Sí
287,Tienda Andres,Tienda,12,Fuenlabrada,2024-03-30,Sí
288,Bar Palma,Bar,9,Leganés,2018-06-17,Sí
289,Tienda Muro,Tienda,8,Getafe,2017-04-19,Sí
290,Bar Clemente,Bar,2,Madrid Norte,2017-12-09,Sí
291,Gasolinera Milla,Gasolinera,10,Móstoles,2025-07-22,Sí
292,Bar Maza,Bar,2,Madrid Norte,2024-02-01,Sí
293,Tienda Pascual,Tienda,6,Alcobendas,2025-08-15,Sí
294,Restaurante Rosell,Restaurante,6,Alcobendas,2023-11-19,Sí
295,Tienda Torralba,Tienda,6,Alcobendas,2026-03-24,Sí
296,Bar Flor,Bar,3,Madrid Sur,2024-08-26,Sí
297,Bar Benito,Bar,11,Alcorcón,2018-01-16,No
298,Gasolinera Beltrán,Gasolinera,1,Madrid Centro,2017-06-16,Sí
299,Bar Garay,Bar,3,Madrid Sur,2026-03-09,Sí
300,Gasolinera Herrera,Gasolinera,12,Fuenlabrada,2023-01-13,Sí
301,Bar Rodrigo,Bar,9,Leganés,2019-07-17,Sí
302,Tienda Guijarro,Tienda,12,Fuenlabrada,2025-08-05,Sí
303,Bar Bárcena,Bar,7,San Sebastián de los Reyes,2019-08-17,Sí
304,Tienda Céspedes,Tienda,2,Madrid Norte,2021-12-07,Sí
305,Restaurante Aragón,Restaurante,9,Leganés,2024-01-28,Sí
306,Supermercado Rojas,Supermercado,4,Madrid Este,2021-12-20,Sí
307,Tienda Bolaños,Tienda,5,Madrid Oeste,2023-02-23,Sí
308,Tienda Hoyos,Tienda,1,Madrid Centro,2026-03-31,Sí
309,Supermercado Guzmán,Supermercado,9,Leganés,2024-10-15,Sí
310,Bar Guitart,Bar,2,Madrid Norte,2022-07-17,Sí
311,Tienda Heras,Tienda,2,Madrid Norte,2020-03-04,Sí
312,Tienda Córdoba,Tienda,8,Getafe,2023-03-20,No
313,Bar Molina,Bar,2,Madrid Norte,2021-12-01,Sí
314,Bar Lerma,Bar,8,Getafe,2017-03-16,No
315,Bar Arnau,Bar,1,Madrid Centro,2022-03-07,Sí
316,Bar Perea,Bar,1,Madrid Centro,2018-08-13,No
317,Tienda Gomez,Tienda,5,Madrid Oeste,2018-10-13,Sí
318,Supermercado Peñalver,Supermercado,11,Alcorcón,2024-10-03,Sí
319,Bar Iñiguez,Bar,5,Madrid Oeste,2025-01-22,Sí
320,Gasolinera Robles,Gasolinera,10,Móstoles,2025-02-02,Sí
321,Tienda Arrieta,Tienda,9,Leganés,2019-04-21,Sí
322,Tienda Guerra,Tienda,4,Madrid Este,2024-03-29,Sí
323,Bar Escobar,Bar,1,Madrid Centro,2024-05-24,No
324,Tienda Diéguez,Tienda,4,Madrid Este,2020-05-28,Sí
325,Bar Mendez,Bar,1,Madrid Centro,2025-01-13,Sí
326,Tienda Bru,Tienda,5,Madrid Oeste,2020-03-16,Sí
327,Restaurante Ramirez,Restaurante,3,Madrid Sur,2024-02-13,Sí
328,Bar Calvo,Bar,7,San Sebastián de los Reyes,2026-01-15,Sí
329,Tienda Duran,Tienda,3,Madrid Sur,2026-05-04,Sí
330,Bar Belda,Bar,7,San Sebastián de los Reyes,2022-09-09,Sí
331,Bar Caballero,Bar,3,Madrid Sur,2026-03-02,Sí
332,Tienda Peralta,Tienda,6,Alcobendas,2018-07-09,Sí
333,Supermercado Cerdá,Supermercado,2,Madrid Norte,2024-11-17,Sí
334,Tienda Diéguez,Tienda,1,Madrid Centro,2026-01-25,Sí
335,Tienda Vizcaíno,Tienda,2,Madrid Norte,2021-10-24,Sí
336,Bar Alegria,Bar,6,Alcobendas,2019-04-05,Sí
337,Bar Puig,Bar,2,Madrid Norte,2021-02-18,Sí
338,Restaurante Lopez,Restaurante,10,Móstoles,2017-03-06,Sí
339,Bar Rosell,Bar,2,Madrid Norte,2018-06-21,No
340,Bar Villalba,Bar,5,Madrid Oeste,2018-02-10,Sí
341,Gasolinera Acuña,Gasolinera,3,Madrid Sur,2024-10-12,Sí
342,Bar Valdés,Bar,5,Madrid Oeste,2022-08-21,Sí
343,Restaurante Quevedo,Restaurante,1,Madrid Centro,2020-05-02,Sí
344,Supermercado Macias,Supermercado,3,Madrid Sur,2016-09-01,Sí
345,Bar Toro,Bar,4,Madrid Este,2020-06-02,Sí
346,Gasolinera Daza,Gasolinera,1,Madrid Centro,2026-05-04,Sí
347,Supermercado Chaves,Supermercado,5,Madrid Oeste,2023-07-05,Sí
348,Bar Avilés,Bar,1,Madrid Centro,2023-11-01,No
349,Bar Sosa,Bar,10,Móstoles,2016-09-30,Sí
350,Gasolinera Frutos,Gasolinera,10,Móstoles,2021-10-13,Sí
351,Restaurante Manrique,Restaurante,5,Madrid Oeste,2020-02-21,Sí
352,Restaurante Durán,Restaurante,3,Madrid Sur,2018-01-18,Sí
353,Bar Figuerola,Bar,4,Madrid Este,2023-01-28,Sí
354,Bar Feliu,Bar,3,Madrid Sur,2024-02-12,Sí
355,Bar Villalonga,Bar,5,Madrid Oeste,2016-12-06,Sí
356,Tienda Uribe,Tienda,3,Madrid Sur,2022-07-03,No
357,Bar Diego,Bar,8,Getafe,2025-01-14,Sí
358,Bar Mas,Bar,7,San Sebastián de los Reyes,2024-10-31,Sí
359,Bar Muñoz,Bar,7,San Sebastián de los Reyes,2022-03-24,Sí
360,Restaurante Tena,Restaurante,7,San Sebastián de los Reyes,2016-10-07,Sí
361,Supermercado Izaguirre,Supermercado,4,Madrid Este,2024-02-29,No
362,Restaurante Jurado,Restaurante,8,Getafe,2018-04-05,Sí
363,Tienda Llano,Tienda,3,Madrid Sur,2023-10-07,Sí
364,Tienda Guzmán,Tienda,5,Madrid Oeste,2024-09-17,Sí
365,Restaurante Barrios,Restaurante,7,San Sebastián de los Reyes,2026-03-20,Sí
366,Bar Pedrero,Bar,9,Leganés,2026-04-21,Sí
367,Restaurante Palomino,Restaurante,3,Madrid Sur,2021-05-18,Sí
368,Bar Hidalgo,Bar,1,Madrid Centro,2018-02-23,Sí
369,Restaurante Machado,Restaurante,6,Alcobendas,2025-10-12,Sí
370,Bar Ribas,Bar,12,Fuenlabrada,2024-11-19,Sí
371,Supermercado Aragón,Supermercado,11,Alcorcón,2020-07-14,Sí
372,Bar Mateo,Bar,8,Getafe,2024-01-01,Sí
373,Bar Seguí,Bar,1,Madrid Centro,2021-01-27,Sí
374,Supermercado Cuevas,Supermercado,1,Madrid Centro,2025-01-26,Sí
375,Tienda Carbó,Tienda,5,Madrid Oeste,2016-06-29,Sí
376,Bar Jara,Bar,4,Madrid Este,2017-07-22,Sí
377,Gasolinera Huertas,Gasolinera,4,Madrid Este,2023-09-03,Sí
378,Restaurante Mulet,Restaurante,9,Leganés,2016-11-15,Sí
379,Gasolinera Izaguirre,Gasolinera,7,San Sebastián de los Reyes,2023-11-28,No
380,Bar Belda,Bar,1,Madrid Centro,2026-05-04,Sí
381,Bar Peralta,Bar,10,Móstoles,2023-07-11,Sí
