venta_id,pedido_id,fecha_id,fecha_entrega,cliente_id,empleado_id,producto_id,cantidad,precio_unitario,coste_unitario,importe,coste_total,beneficio,estado_pedido,dias_entrega,fecha,mes
25,100009,20240515,2024-05-16,18,12,1,19,2.27,1.15,43.13,21.85,21.28,Entregado,1.0,2024-05-15,5
26,100010,20230810,2023-08-12,1379,11,15,7,4.1,1.66,28.7,11.62,17.08,Entregado,2.0,2023-08-10,8
27,100010,20230810,2023-08-12,1379,11,4,20,2.04,1.15,40.8,23.0,17.8,Entregado,2.0,2023-08-10,8
28,100011,20230309,2023-03-12,915,16,21,10,3.52,1.44,35.2,14.4,20.8,Entregado,3.0,2023-03-09,3
29,100011,20230309,2023-03-12,915,16,17,39,2.85,1.2,111.15,46.8,64.35,Entregado,3.0,2023-03-09,3
30,100011,20230309,2023-03-12,915,16,19,49,2.13,1.26,104.37,61.74,42.63,Entregado,3.0,2023-03-09,3
31,100011,20230309,2023-03-12,915,16,15,30,4.1,1.66,123.0,49.8,73.2,Entregado,3.0,2023-03-09,3
32,100011,20230309,2023-03-12,915,16,4,48,2.04,1.15,97.92,55.2,42.72,Entregado,3.0,2023-03-09,3
33,100012,20210813,2021-08-15,1757,10,19,17,2.13,1.26,36.21,21.42,14.79,Entregado,2.0,2021-08-13,8
34,100012,20210813,2021-08-15,1757,10,3,11,2.51,0.94,27.61,10.34,17.27,Entregado,2.0,2021-08-13,8
35,100012,20210813,2021-08-15,1757,10,28,6,1.22,0.68,7.32,4.08,3.24,Entregado,2.0,2021-08-13,8
36,100012,20210813,2021-08-15,1757,10,24,20,3.67,2.07,73.4,41.4,32.0,Entregado,2.0,2021-08-13,8
37,100012,20210813,2021-08-15,1757,10,8,16,4.1,2.41,65.6,38.56,27.04,Entregado,2.0,2021-08-13,8
38,100012,20210813,2021-08-15,1757,10,7,16,4.06,2.33,64.96,37.28,27.68,Entregado,2.0,2021-08-13,8
39,100013,20210921,2021-09-24,205,10,23,23,5.17,2.71,118.91,62.33,56.58,Entregado,3.0,2021-09-21,9
40,100013,20210921,2021-09-24,205,10,22,21,5.89,2.57,123.69,53.97,69.72,Entregado,3.0,2021-09-21,9
41,100013,20210921,2021-09-24,205,10,20,32,2.98,1.26,95.36,40.32,55.04,Entregado,3.0,2021-09-21,9
42,100013,20210921,2021-09-24,205,10,24,43,3.67,2.07,157.81,89.01,68.8,Entregado,3.0,2021-09-21,9
43,100014,20220805,2022-08-08,1218,10,1,10,2.27,1.15,22.7,11.5,11.2,Entregado,3.0,2022-08-05,8
44,100014,20220805,2022-08-08,1218,10,11,4,3.07,1.49,12.28,5.96,6.32,Entregado,3.0,2022-08-05,8
45,100014,20220805,2022-08-08,1218,10,8,3,4.1,2.41,12.3,7.23,5.07,Entregado,3.0,2022-08-05,8
46,100014,20220805,2022-08-08,1218,10,28,10,1.22,0.68,12.2,6.8,5.4,Entregado,3.0,2022-08-05,8
47,100015,20230526,2023-05-28,1995,15,22,11,5.89,2.57,64.79,28.27,36.52,Entregado,2.0,2023-05-26,5
48,100015,20230526,2023-05-28,1995,15,13,2,1.69,0.7,3.38,1.4,1.98,Entregado,2.0,2023-05-26,5
49,100015,20230526,2023-05-28,1995,15,15,2,4.1,1.66,8.2,3.32,4.88,Entregado,2.0,2023-05-26,5
50,100016,20230529,2023-06-01,1571,14,13,6,1.69,0.7,10.14,4.2,5.94,Entregado,3.0,2023-05-29,5
51,100016,20230529,2023-06-01,1571,14,12,10,2.54,1.32,25.4,13.2,12.2,Entregado,3.0,2023-05-29,5
52,100016,20230529,2023-06-01,1571,14,5,5,2.19,0.79,10.95,3.95,7.0,Entregado,3.0,2023-05-29,5
53,100016,20230529,2023-06-01,1571,14,2,3,1.88,0.92,5.64,2.76,2.88,Entregado,3.0,2023-05-29,5
54,100016,20230529,2023-06-01,1571,14,15,8,4.1,1.66,32.8,13.28,19.52,Entregado,3.0,2023-05-29,5
55,100016,20230529,2023-06-01,1571,14,6,10,5.2,2.27,52.0,22.7,29.3,Entregado,3.0,2023-05-29,5
56,100017,20231113,2023-11-16,58,12,5,5,2.19,0.79,10.95,3.95,7.0,Entregado,3.0,2023-11-13,11
57,100018,20241004,2024-10-06,1065,14,3,11,2.51,0.94,27.61,10.34,17.27,Entregado,2.0,2024-10-04,10
58,100018,20241004,2024-10-06,1065,14,24,3,3.67,2.07,11.01,6.21,4.8,Entregado,2.0,2024-10-04,10
59,100018,20241004,2024-10-06,1065,14,20,9,2.98,1.26,26.82,11.34,15.48,Entregado,2.0,2024-10-04,10
60,100019,20230412,2023-04-14,353,15,26,8,1.47,0.56,11.76,4.48,7.28,Entregado,2.0,2023-04-12,4
61,100019,20230412,2023-04-14,353,15,24,5,3.67,2.07,18.35,10.35,8.0,Entregado,2.0,2023-04-12,4
62,100019,20230412,2023-04-14,353,15,15,3,4.1,1.66,12.3,4.98,7.32,Entregado,2.0,2023-04-12,4
63,100019,20230412,2023-04-14,353,15,10,10,2.73,1.51,27.3,15.1,12.2,Entregado,2.0,2023-04-12,4
64,100020,20240507,2024-05-08,1821,15,9,3,4.51,1.63,13.53,4.89,8.64,Entregado,1.0,2024-05-07,5
65,100020,20240507,2024-05-08,1821,15,18,3,3.38,1.58,10.14,4.74,5.4,Entregado,1.0,2024-05-07,5
66,100021,20220513,2022-05-16,766,9,9,4,4.51,1.63,18.04,6.52,11.52,Entregado,3.0,2022-05-13,5
67,100021,20220513,2022-05-16,766,9,14,9,2.97,1.79,26.73,16.11,10.62,Entregado,3.0,2022-05-13,5
68,100021,20220513,2022-05-16,766,9,3,7,2.51,0.94,17.57,6.58,10.99,Entregado,3.0,2022-05-13,5
69,100022,20231010,2023-10-13,63,9,27,3,2.28,0.94,6.84,2.82,4.02,Entregado,3.0,2023-10-10,10
70,100023,20230505,2023-05-08,1673,9,15,22,4.1,1.66,90.2,36.52,53.68,Entregado,3.0,2023-05-05,5
71,100023,20230505,2023-05-08,1673,9,20,14,2.98,1.26,41.72,17.64,24.08,Entregado,3.0,2023-05-05,5
72,100023,20230505,2023-05-08,1673,9,16,13,2.1,0.81,27.3,10.53,16.77,Entregado,3.0,2023-05-05,5
73,100023,20230505,2023-05-08,1673,9,25,26,3.77,2.3,98.02,59.8,38.22,Entregado,3.0,2023-05-05,5
74,100024,20210218,2021-02-21,1271,8,23,11,5.17,2.71,56.87,29.81,27.06,Entregado,3.0,2021-02-18,2
75,100024,20210218,2021-02-21,1271,8,7,3,4.06,2.33,12.18,6.99,5.19,Entregado,3.0,2021-02-18,2
76,100024,20210218,2021-02-21,1271,8,13,5,1.69,0.7,8.45,3.5,4.95,Entregado,3.0,2021-02-18,2
77,100024,20210218,2021-02-21,1271,8,4,10,2.04,1.15,20.4,11.5,8.9,Entregado,3.0,2021-02-18,2
78,100024,20210218,2021-02-21,1271,8,6,10,5.2,2.27,52.0,22.7,29.3,Entregado,3.0,2021-02-18,2
79,100025,20240813,2024-08-14,578,8,14,14,2.97,1.79,41.58,25.06,16.52,Entregado,1.0,2024-08-13,8
80,100025,20240813,2024-08-14,578,8,21,16,3.52,1.44,56.32,23.04,33.28,Entregado,1.0,2024-08-13,8
81,100025,20240813,2024-08-14,578,8,24,20,3.67,2.07,73.4,41.4,32.0,Entregado,1.0,2024-08-13,8
82,100025,20240813,2024-08-14,578,8,28,18,1.22,0.68,21.96,12.24,9.72,Entregado,1.0,2024-08-13,8
83,100025,20240813,2024-08-14,578,8,23,18,5.17,2.71,93.06,48.78,44.28,Entregado,1.0,2024-08-13,8
84,100026,20220510,2022-05-11,1239,15,6,13,5.2,2.27,67.6,29.51,38.09,Entregado,1.0,2022-05-10,5
85,100026,20220510,2022-05-11,1239,15,10,26,2.73,1.51,70.98,39.26,31.72,Entregado,1.0,2022-05-10,5
86,100027,20230712,2023-07-13,202,16,15,9,4.1,1.66,36.9,14.94,21.96,Entregado,1.0,2023-07-12,7
87,100027,20230712,2023-07-13,202,16,24,10,3.67,2.07,36.7,20.7,16.0,Entregado,1.0,2023-07-12,7
88,100028,20250918,2025-09-20,1065,14,22,3,5.89,2.57,17.67,7.71,9.96,Entregado,2.0,2025-09-18,9
89,100028,20250918,2025-09-20,1065,14,20,5,2.98,1.26,14.9,6.3,8.6,Entregado,2.0,2025-09-18,9
90,100029,20240708,2024-07-10,693,9,3,13,2.51,0.94,32.63,12.22,20.41,Entregado,2.0,2024-07-08,7
91,100029,20240708,2024-07-10,693,9,19,6,2.13,1.26,12.78,7.56,5.22,Entregado,2.0,2024-07-08,7
92,100030,20250402,2025-04-05,1235,15,8,5,4.1,2.41,20.5,12.05,8.45,Entregado,3.0,2025-04-02,4
93,100030,20250402,2025-04-05,1235,15,11,10,3.07,1.49,30.7,14.9,15.8,Entregado,3.0,2025-04-02,4
94,100030,20250402,2025-04-05,1235,15,23,7,5.17,2.71,36.19,18.97,17.22,Entregado,3.0,2025-04-02,4
95,100031,20251121,2025-11-23,1321,10,5,6,2.19,0.79,13.14,4.74,8.4,Entregado,2.0,2025-11-21,11
96,100031,20251121,2025-11-23,1321,10,24,17,3.67,2.07,62.39,35.19,27.2,Entregado,2.0,2025-11-21,11
97,100031,20251121,2025-11-23,1321,10,20,12,2.98,1.26,35.76,15.12,20.64,Entregado,2.0,2025-11-21,11
98,100031,20251121,2025-11-23,1321,10,19,17,2.13,1.26,36.21,21.42,14.79,Entregado,2.0,2025-11-21,11
99,100032,20250404,2025-04-05,816,12,25,9,3.77,2.3,33.93,20.7,13.23,Entregado,1.0,2025-04-04,4
100,100032,20250404,2025-04-05,816,12,16,2,2.1,0.81,4.2,1.62,2.58,Entregado,1.0,2025-04-04,4
101,100032,20250404,2025-04-05,816,12,23,7,5.17,2.71,36.19,18.97,17.22,Entregado,1.0,2025-04-04,4
102,100032,20250404,2025-04-05,816,12,27,6,2.28,0.94,13.68,5.64,8.04,Entregado,1.0,2025-04-04,4
103,100032,20250404,2025-04-05,816,12,17,2,2.85,1.2,5.7,2.4,3.3,Entregado,1.0,2025-04-04,4
104,100033,20240627,2024-06-28,618,12,26,3,1.47,0.56,4.41,1.68,2.73,Entregado,1.0,2024-06-27,6
105,100033,20240627,2024-06-28,618,12,15,9,4.1,1.66,36.9,14.94,21.96,Entregado,1.0,2024-06-27,6
106,100033,20240627,2024-06-28,618,12,5,4,2.19,0.79,8.76,3.16,5.6,Entregado,1.0,2024-06-27,6
107,100034,20210401,2021-04-04,52,10,17,49,2.85,1.2,139.65,58.8,80.85,Entregado,3.0,2021-04-01,4
108,100034,20210401,2021-04-04,52,10,14,25,2.97,1.79,74.25,44.75,29.5,Entregado,3.0,2021-04-01,4
109,100034,20210401,2021-04-04,52,10,4,39,2.04,1.15,79.56,44.85,34.71,Entregado,3.0,2021-04-01,4
110,100034,20210401,2021-04-04,52,10,15,41,4.1,1.66,168.1,68.06,100.04,Entregado,3.0,2021-04-01,4
111,100035,20231218,2023-12-21,520,9,25,44,3.77,2.3,165.88,101.2,64.68,Entregado,3.0,2023-12-18,12
112,100035,20231218,2023-12-21,520,9,24,43,3.67,2.07,157.81,89.01,68.8,Entregado,3.0,2023-12-18,12
113,100035,20231218,2023-12-21,520,9,23,12,5.17,2.71,62.04,32.52,29.52,Entregado,3.0,2023-12-18,12
114,100035,20231218,2023-12-21,520,9,8,46,4.1,2.41,188.6,110.86,77.74,Entregado,3.0,2023-12-18,12
115,100035,20231218,2023-12-21,520,9,4,47,2.04,1.15,95.88,54.05,41.83,Entregado,3.0,2023-12-18,12
116,100036,20210621,2021-06-24,1418,10,3,10,2.51,0.94,25.1,9.4,15.7,Entregado,3.0,2021-06-21,6
117,100036,20210621,2021-06-24,1418,10,12,9,2.54,1.32,22.86,11.88,10.98,Entregado,3.0,2021-06-21,6
118,100036,20210621,2021-06-24,1418,10,18,3,3.38,1.58,10.14,4.74,5.4,Entregado,3.0,2021-06-21,6
119,100037,20220809,2022-08-12,768,14,25,13,3.77,2.3,49.01,29.9,19.11,Entregado,3.0,2022-08-09,8
120,100037,20220809,2022-08-12,768,14,26,20,1.47,0.56,29.4,11.2,18.2,Entregado,3.0,2022-08-09,8
121,100038,20230420,2023-04-21,1723,15,23,5,5.17,2.71,25.85,13.55,12.3,Entregado,1.0,2023-04-20,4
122,100039,20230920,2023-09-23,1868,16,9,2,4.51,1.63,9.02,3.26,5.76,Entregado,3.0,2023-09-20,9
123,100039,20230920,2023-09-23,1868,16,25,8,3.77,2.3,30.16,18.4,11.76,Entregado,3.0,2023-09-20,9
124,100039,20230920,2023-09-23,1868,16,19,3,2.13,1.26,6.39,3.78,2.61,Entregado,3.0,2023-09-20,9
125,100040,20240730,2024-07-31,1582,13,17,20,2.85,1.2,57.0,24.0,33.0,Entregado,1.0,2024-07-30,7
126,100040,20240730,2024-07-31,1582,13,3,17,2.51,0.94,42.67,15.98,26.69,Entregado,1.0,2024-07-30,7
127,100040,20240730,2024-07-31,1582,13,26,6,1.47,0.56,8.82,3.36,5.46,Entregado,1.0,2024-07-30,7
128,100040,20240730,2024-07-31,1582,13,4,11,2.04,1.15,22.44,12.65,9.79,Entregado,1.0,2024-07-30,7
129,100041,20231011,2023-10-12,698,15,8,20,4.1,2.41,82.0,48.2,33.8,Entregado,1.0,2023-10-11,10
130,100042,20220321,2022-03-24,1548,11,8,11,4.1,2.41,45.1,26.51,18.59,Entregado,3.0,2022-03-21,3
131,100043,20210624,2021-06-27,942,11,28,12,1.22,0.68,14.64,8.16,6.48,Entregado,3.0,2021-06-24,6
132,100043,20210624,2021-06-27,942,11,18,10,3.38,1.58,33.8,15.8,18.0,Entregado,3.0,2021-06-24,6
133,100043,20210624,2021-06-27,942,11,5,8,2.19,0.79,17.52,6.32,11.2,Entregado,3.0,2021-06-24,6
134,100043,20210624,2021-06-27,942,11,22,4,5.89,2.57,23.56,10.28,13.28,Entregado,3.0,2021-06-24,6
135,100043,20210624,2021-06-27,942,11,7,8,4.06,2.33,32.48,18.64,13.84,Entregado,3.0,2021-06-24,6
136,100044,20210216,2021-02-17,965,15,25,19,3.77,2.3,71.63,43.7,27.93,Entregado,1.0,2021-02-16,2
137,100044,20210216,2021-02-17,965,15,10,17,2.73,1.51,46.41,25.67,20.74,Entregado,1.0,2021-02-16,2
138,100044,20210216,2021-02-17,965,15,21,15,3.52,1.44,52.8,21.6,31.2,Entregado,1.0,2021-02-16,2
139,100045,20220420,2022-04-23,1388,8,1,4,2.27,1.15,9.08,4.6,4.48,Entregado,3.0,2022-04-20,4
140,100045,20220420,2022-04-23,1388,8,3,2,2.51,0.94,5.02,1.88,3.14,Entregado,3.0,2022-04-20,4
141,100045,20220420,2022-04-23,1388,8,20,4,2.98,1.26,11.92,5.04,6.88,Entregado,3.0,2022-04-20,4
142,100045,20220420,2022-04-23,1388,8,15,4,4.1,1.66,16.4,6.64,9.76,Entregado,3.0,2022-04-20,4
143,100046,20250529,2025-05-30,1231,15,3,28,2.51,0.94,70.28,26.32,43.96,Entregado,1.0,2025-05-29,5
144,100046,20250529,2025-05-30,1231,15,1,42,2.27,1.15,95.34,48.3,47.04,Entregado,1.0,2025-05-29,5
145,100046,20250529,2025-05-30,1231,15,12,34,2.54,1.32,86.36,44.88,41.48,Entregado,1.0,2025-05-29,5
146,100046,20250529,2025-05-30,1231,15,9,35,4.51,1.63,157.85,57.05,100.8,Entregado,1.0,2025-05-29,5
147,100047,20250613,2025-06-14,1584,10,3,8,2.51,0.94,20.08,7.52,12.56,Entregado,1.0,2025-06-13,6
148,100047,20250613,2025-06-14,1584,10,19,10,2.13,1.26,21.3,12.6,8.7,Entregado,1.0,2025-06-13,6
149,100047,20250613,2025-06-14,1584,10,1,5,2.27,1.15,11.35,5.75,5.6,Entregado,1.0,2025-06-13,6
150,100047,20250613,2025-06-14,1584,10,21,5,3.52,1.44,17.6,7.2,10.4,Entregado,1.0,2025-06-13,6
151,100048,20240527,2024-05-29,1784,9,7,13,4.06,2.33,52.78,30.29,22.49,Entregado,2.0,2024-05-27,5
152,100049,20250703,2025-07-05,1402,13,28,7,1.22,0.68,8.54,4.76,3.78,Entregado,2.0,2025-07-03,7
153,100049,20250703,2025-07-05,1402,13,20,10,2.98,1.26,29.8,12.6,17.2,Entregado,2.0,2025-07-03,7
154,100050,20240905,2024-09-06,1772,8,10,12,2.73,1.51,32.76,18.12,14.64,Entregado,1.0,2024-09-05,9
155,100050,20240905,2024-09-06,1772,8,3,11,2.51,0.94,27.61,10.34,17.27,Entregado,1.0,2024-09-05,9
156,100050,20240905,2024-09-06,1772,8,11,28,3.07,1.49,85.96,41.72,44.24,Entregado,1.0,2024-09-05,9
157,100051,20250324,2025-03-26,1264,13,28,50,1.22,0.68,61.0,34.0,27.0,Entregado,2.0,2025-03-24,3
158,100051,20250324,2025-03-26,1264,13,15,13,4.1,1.66,53.3,21.58,31.72,Entregado,2.0,2025-03-24,3
159,100051,20250324,2025-03-26,1264,13,1,13,2.27,1.15,29.51,14.95,14.56,Entregado,2.0,2025-03-24,3
160,100052,20250806,2025-08-09,747,10,12,9,2.54,1.32,22.86,11.88,10.98,Entregado,3.0,2025-08-06,8
161,100052,20250806,2025-08-09,747,10,2,4,1.88,0.92,7.52,3.68,3.84,Entregado,3.0,2025-08-06,8
162,100052,20250806,2025-08-09,747,10,16,12,2.1,0.81,25.2,9.72,15.48,Entregado,3.0,2025-08-06,8
163,100053,20240318,2024-03-20,593,15,1,10,2.27,1.15,22.7,11.5,11.2,Entregado,2.0,2024-03-18,3
164,100054,20221026,2022-10-28,653,9,21,7,3.52,1.44,24.64,10.08,14.56,Entregado,2.0,2022-10-26,10
165,100055,20241004,2024-10-07,727,15,22,8,5.89,2.57,47.12,20.56,26.56,Entregado,3.0,2024-10-04,10
166,100056,20250807,2025-08-08,851,10,1,3,2.27,1.15,6.81,3.45,3.36,Entregado,1.0,2025-08-07,8
167,100056,20250807,2025-08-08,851,10,14,9,2.97,1.79,26.73,16.11,10.62,Entregado,1.0,2025-08-07,8
168,100056,20250807,2025-08-08,851,10,26,7,1.47,0.56,10.29,3.92,6.37,Entregado,1.0,2025-08-07,8
169,100057,20240712,2024-07-14,1163,10,18,4,3.38,1.58,13.52,6.32,7.2,Entregado,2.0,2024-07-12,7
170,100057,20240712,2024-07-14,1163,10,26,6,1.47,0.56,8.82,3.36,5.46,Entregado,2.0,2024-07-12,7
171,100057,20240712,2024-07-14,1163,10,5,5,2.19,0.79,10.95,3.95,7.0,Entregado,2.0,2024-07-12,7
172,100058,20221122,2022-11-25,1010,15,9,11,4.51,1.63,49.61,17.93,31.68,Entregado,3.0,2022-11-22,11
173,100058,20221122,2022-11-25,1010,15,15,43,4.1,1.66,176.3,71.38,104.92,Entregado,3.0,2022-11-22,11
174,100059,20220517,2022-05-18,1874,9,3,7,2.51,0.94,17.57,6.58,10.99,Entregado,1.0,2022-05-17,5
175,100059,20220517,2022-05-18,1874,9,16,2,2.1,0.81,4.2,1.62,2.58,Entregado,1.0,2022-05-17,5
176,100059,20220517,2022-05-18,1874,9,18,9,3.38,1.58,30.42,14.22,16.2,Entregado,1.0,2022-05-17,5
177,100059,20220517,2022-05-18,1874,9,6,5,5.2,2.27,26.0,11.35,14.65,Entregado,1.0,2022-05-17,5
178,100060,20230515,2023-05-18,801,8,8,9,4.1,2.41,36.9,21.69,15.21,Entregado,3.0,2023-05-15,5
179,100060,20230515,2023-05-18,801,8,4,8,2.04,1.15,16.32,9.2,7.12,Entregado,3.0,2023-05-15,5
180,100060,20230515,2023-05-18,801,8,23,9,5.17,2.71,46.53,24.39,22.14,Entregado,3.0,2023-05-15,5
181,100060,20230515,2023-05-18,801,8,3,2,2.51,0.94,5.02,1.88,3.14,Entregado,3.0,2023-05-15,5
182,100061,20250415,2025-04-16,387,10,1,20,2.27,1.15,45.4,23.0,22.4,Entregado,1.0,2025-04-15,4
183,100061,20250415,2025-04-16,387,10,15,12,4.1,1.66,49.2,19.92,29.28,Entregado,1.0,2025-04-15,4
184,100061,20250415,2025-04-16,387,10,22,18,5.89,2.57,106.02,46.26,59.76,Entregado,1.0,2025-04-15,4
185,100062,20220601,2022-06-04,1527,16,28,12,1.22,0.68,14.64,8.16,6.48,Entregado,3.0,2022-06-01,6
186,100063,20221013,2022-10-14,426,14,13,20,1.69,0.7,33.8,14.0,19.8,Entregado,1.0,2022-10-13,10
187,100063,20221013,2022-10-14,426,14,2,39,1.88,0.92,73.32,35.88,37.44,Entregado,1.0,2022-10-13,10
188,100063,20221013,2022-10-14,426,14,3,46,2.51,0.94,115.46,43.24,72.22,Entregado,1.0,2022-10-13,10
189,100064,20210428,2021-05-01,466,11,7,4,4.06,2.33,16.24,9.32,6.92,Entregado,3.0,2021-04-28,4
190,100064,20210428,2021-05-01,466,11,2,15,1.88,0.92,28.2,13.8,14.4,Entregado,3.0,2021-04-28,4
191,100064,20210428,2021-05-01,466,11,13,11,1.69,0.7,18.59,7.7,10.89,Entregado,3.0,2021-04-28,4
192,100064,20210428,2021-05-01,466,11,22,4,5.89,2.57,23.56,10.28,13.28,Entregado,3.0,2021-04-28,4
193,100065,20240625,2024-06-27,1705,16,15,19,4.1,1.66,77.9,31.54,46.36,Entregado,2.0,2024-06-25,6
194,100065,20240625,2024-06-27,1705,16,27,6,2.28,0.94,13.68,5.64,8.04,Entregado,2.0,2024-06-25,6
195,100065,20240625,2024-06-27,1705,16,22,8,5.89,2.57,47.12,20.56,26.56,Entregado,2.0,2024-06-25,6
196,100065,20240625,2024-06-27,1705,16,28,14,1.22,0.68,17.08,9.52,7.56,Entregado,2.0,2024-06-25,6
197,100066,20230908,2023-09-09,1495,12,20,10,2.98,1.26,29.8,12.6,17.2,Entregado,1.0,2023-09-08,9
198,100066,20230908,2023-09-09,1495,12,24,42,3.67,2.07,154.14,86.94,67.2,Entregado,1.0,2023-09-08,9
199,100066,20230908,2023-09-09,1495,12,3,28,2.51,0.94,70.28,26.32,43.96,Entregado,1.0,2023-09-08,9
200,100066,20230908,2023-09-09,1495,12,26,36,1.47,0.56,52.92,20.16,32.76,Entregado,1.0,2023-09-08,9
201,100067,20250908,2025-09-11,1852,15,2,15,1.88,0.92,28.2,13.8,14.4,Entregado,3.0,2025-09-08,9
202,100067,20250908,2025-09-11,1852,15,11,4,3.07,1.49,12.28,5.96,6.32,Entregado,3.0,2025-09-08,9
203,100067,20250908,2025-09-11,1852,15,15,18,4.1,1.66,73.8,29.88,43.92,Entregado,3.0,2025-09-08,9
204,100068,20230616,,1427,9,10,18,2.73,1.51,0.0,0.0,0.0,Cancelado,,2023-06-16,6
205,100068,20230616,,1427,9,15,4,4.1,1.66,0.0,0.0,0.0,Cancelado,,2023-06-16,6
206,100069,20231023,2023-10-26,1070,15,21,6,3.52,1.44,21.12,8.64,12.48,Entregado,3.0,2023-10-23,10
207,100069,20231023,2023-10-26,1070,15,22,14,5.89,2.57,82.46,35.98,46.48,Entregado,3.0,2023-10-23,10
208,100069,20231023,2023-10-26,1070,15,28,6,1.22,0.68,7.32,4.08,3.24,Entregado,3.0,2023-10-23,10
209,100070,20251218,2025-12-21,274,8,9,7,4.51,1.63,31.57,11.41,20.16,Entregado,3.0,2025-12-18,12
210,100070,20251218,2025-12-21,274,8,8,4,4.1,2.41,16.4,9.64,6.76,Entregado,3.0,2025-12-18,12
211,100070,20251218,2025-12-21,274,8,23,5,5.17,2.71,25.85,13.55,12.3,Entregado,3.0,2025-12-18,12
212,100071,20230418,2023-04-21,873,8,1,10,2.27,1.15,22.7,11.5,11.2,Entregado,3.0,2023-04-18,4
213,100071,20230418,2023-04-21,873,8,16,7,2.1,0.81,14.7,5.67,9.03,Entregado,3.0,2023-04-18,4
214,100071,20230418,2023-04-21,873,8,9,6,4.51,1.63,27.06,9.78,17.28,Entregado,3.0,2023-04-18,4
215,100071,20230418,2023-04-21,873,8,18,3,3.38,1.58,10.14,4.74,5.4,Entregado,3.0,2023-04-18,4
216,100071,20230418,2023-04-21,873,8,13,11,1.69,0.7,18.59,7.7,10.89,Entregado,3.0,2023-04-18,4
217,100071,20230418,2023-04-21,873,8,26,8,1.47,0.56,11.76,4.48,7.28,Entregado,3.0,2023-04-18,4
218,100072,20210407,2021-04-10,398,11,25,5,3.77,2.3,18.85,11.5,7.35,Entregado,3.0,2021-04-07,4
219,100072,20210407,2021-04-10,398,11,10,2,2.73,1.51,5.46,3.02,2.44,Entregado,3.0,2021-04-07,4
220,100072,20210407,2021-04-10,398,11,2,3,1.88,0.92,5.64,2.76,2.88,Entregado,3.0,2021-04-07,4
221,100072,20210407,2021-04-10,398,11,5,9,2.19,0.79,19.71,7.11,12.6,Entregado,3.0,2021-04-07,4
