productividad_id,fecha_id,empleado_id,pedidos_gestionados,importe_vendido,objetivo_diario,cumplimiento_pct
188,20210210,16,1,119.15,1019,11.69
189,20210210,17,1,35.96,733,4.91
190,20210211,8,4,454.66,1650,27.56
191,20210211,9,2,165.29,1205,13.72
192,20210211,10,1,146.34,671,21.81
193,20210211,11,1,4.54,765,0.59
194,20210211,12,1,72.85,1215,6.0
195,20210211,13,4,480.58,1402,34.28
196,20210211,14,1,105.22,1650,6.38
197,20210211,15,1,86.18,735,11.73
198,20210212,8,1,43.18,735,5.87
199,20210212,9,2,176.16,752,23.43
200,20210212,10,6,542.06,1783,30.4
201,20210212,11,3,239.15,1115,21.45
202,20210212,13,1,81.84,1349,6.07
203,20210212,14,1,132.59,1477,8.98
204,20210212,15,2,61.14,1520,4.02
205,20210212,16,2,156.23,1423,10.98
206,20210212,17,1,266.46000000000004,1683,15.83
207,20210215,8,3,348.76000000000005,1161,30.04
208,20210215,9,1,56.06,1196,4.69
209,20210215,10,1,120.8,1382,8.74
210,20210215,12,1,86.15,1552,5.55
211,20210215,13,1,24.36,925,2.63
212,20210215,14,1,153.96,1061,14.51
213,20210215,15,2,77.29,1192,6.48
214,20210215,16,2,320.19,1645,19.46
215,20210216,9,1,145.78,916,15.91
216,20210216,10,2,236.64,1359,17.41
217,20210216,12,1,87.0,1612,5.4
218,20210216,13,1,90.75,896,10.13
219,20210216,15,1,170.83999999999995,954,17.91
220,20210216,16,1,654.76,1211,54.07
221,20210217,8,2,128.1,1149,11.15
222,20210217,9,1,160.36,1367,11.73
223,20210217,10,2,360.34,1589,22.68
224,20210217,12,1,9.08,1465,0.62
225,20210217,13,1,186.91,1280,14.6
226,20210217,14,1,32.8,1063,3.09
227,20210217,15,4,273.09,781,34.97
228,20210217,16,2,176.64999999999998,863,20.47
229,20210218,8,2,298.01,1632,18.26
230,20210218,9,1,21.12,1642,1.29
231,20210218,10,3,395.39,1577,25.07
232,20210218,11,1,60.2,1241,4.85
233,20210218,12,1,65.55,710,9.23
234,20210218,13,3,187.03,688,27.18
235,20210218,15,2,236.7,1180,20.06
236,20210218,16,1,108.94,1577,6.91
237,20210218,17,1,130.22,1632,7.98
238,20210219,8,3,167.9,612,27.43
239,20210219,9,2,146.72,989,14.84
240,20210219,10,2,739.96,1006,73.55
241,20210219,12,3,170.98999999999998,1109,15.42
242,20210219,14,2,174.99,659,26.55
243,20210219,15,5,283.28,1682,16.84
244,20210219,16,2,182.77,1395,13.1
245,20210222,9,2,32.56,1430,2.28
246,20210222,10,1,143.13,1644,8.71
247,20210222,11,2,270.1,870,31.05
248,20210222,12,2,397.51,738,53.86
249,20210222,14,4,359.29,1334,26.93
250,20210222,17,1,21.12,1261,1.67
251,20210223,8,3,335.4,1534,21.86
252,20210223,10,1,111.35,699,15.93
253,20210223,11,1,72.25999999999999,1141,6.33
254,20210223,12,3,235.84,1303,18.1
255,20210223,15,1,93.34,654,14.27
256,20210223,16,1,110.84,1447,7.66
257,20210224,11,3,358.63,899,39.89
258,20210224,15,2,380.01,1639,23.19
259,20210224,16,2,214.46,1581,13.56
260,20210224,17,2,449.39,1762,25.5
261,20210225,9,2,606.61,1537,39.47
262,20210225,10,3,1004.81,1678,59.88
263,20210225,11,1,46.04,1159,3.97
264,20210225,13,1,104.65,694,15.08
265,20210225,14,2,112.64,1337,8.42
266,20210225,15,3,887.66,1475,60.18
267,20210225,16,3,298.79,1109,26.94
268,20210226,8,1,19.17,1585,1.21
269,20210226,10,1,86.37,1386,6.23
270,20210226,11,3,221.24,904,24.47
271,20210226,12,4,497.18,1192,41.71
272,20210226,13,2,153.55,1294,11.87
273,20210226,14,4,308.29,1744,17.68
274,20210226,15,2,281.67,1743,16.16
275,20210226,16,1,0.0,1273,0.0
276,20210226,17,1,105.04,1149,9.14
277,20210301,8,2,232.07,1497,15.5
278,20210301,10,2,202.69,938,21.61
279,20210301,11,2,162.7,1117,14.57
280,20210301,12,3,182.64,1350,13.53
281,20210301,13,1,71.28,1434,4.97
282,20210301,14,3,80.51,1265,6.36
283,20210301,15,1,68.86,1022,6.74
284,20210302,8,1,117.43,1079,10.88
285,20210302,9,3,359.03000000000003,1028,34.93
286,20210302,10,2,100.6,1507,6.68
287,20210302,11,2,126.12,803,15.71
288,20210302,13,2,144.82999999999998,907,15.97
289,20210302,15,2,170.57,796,21.43
290,20210302,16,2,117.07,1496,7.83
291,20210303,8,3,230.21,807,28.53
292,20210303,10,2,278.83,1216,22.93
293,20210303,11,1,42.94,1064,4.04
294,20210303,12,2,70.96,1495,4.75
295,20210303,15,1,44.34,1328,3.34
296,20210303,16,2,112.78,1670,6.75
297,20210304,8,1,43.13,1079,4.0
298,20210304,9,5,779.98,620,125.8
299,20210304,10,2,235.15,801,29.36
300,20210304,11,1,175.61,893,19.67
301,20210304,12,3,163.81,1632,10.04
302,20210304,13,1,21.3,1220,1.75
303,20210304,15,5,655.9200000000001,805,81.48
304,20210305,8,3,181.13,983,18.43
305,20210305,9,1,149.91,1649,9.09
306,20210305,10,2,370.1,1193,31.02
307,20210305,11,1,15.24,685,2.22
308,20210305,13,2,168.47,721,23.37
309,20210305,14,3,221.46,1070,20.7
310,20210305,16,2,173.8,1293,13.44
311,20210308,8,1,98.13,1602,6.13
312,20210308,9,4,279.31,1719,16.25
313,20210308,11,1,89.79,1762,5.1
314,20210308,12,1,93.67,708,13.23
315,20210308,13,2,192.16,1336,14.38
316,20210308,14,2,394.19,1534,25.7
317,20210308,15,3,140.62,1768,7.95
318,20210308,16,3,303.16,968,31.32
319,20210309,8,3,284.04,1291,22.0
320,20210309,9,2,140.32,1013,13.85
321,20210309,10,1,389.44,1011,38.52
322,20210309,12,2,87.91,1097,8.01
323,20210309,13,1,88.97,680,13.08
324,20210309,15,3,235.45,625,37.67
325,20210310,8,2,249.77,758,32.95
326,20210310,10,1,44.66,1363,3.28
327,20210310,11,5,378.41,1457,25.97
328,20210310,12,1,55.28,1157,4.78
329,20210310,13,3,294.58,1544,19.08
330,20210310,14,1,211.58,986,21.46
331,20210310,15,2,85.14,1678,5.07
332,20210311,8,3,241.27,941,25.64
333,20210311,9,2,134.39,1172,11.47
334,20210311,10,3,644.89,1308,49.3
335,20210311,12,2,75.07,1149,6.53
336,20210311,13,3,321.99,1399,23.02
337,20210311,15,5,488.35,1426,34.25
338,20210311,16,2,69.32,1392,4.98
339,20210312,8,2,652.05,736,88.59
340,20210312,9,4,418.05,1424,29.36
341,20210312,10,1,118.66,954,12.44
342,20210312,11,3,175.42,1579,11.11
343,20210312,15,2,126.55,1077,11.75
344,20210312,17,1,17.57,639,2.75
345,20210315,8,1,36.6,1430,2.56
346,20210315,9,3,170.91,1599,10.69
347,20210315,10,5,387.61,1585,24.45
348,20210315,11,1,38.22,723,5.29
349,20210315,13,1,42.2,1054,4.0
350,20210315,14,2,440.12,843,52.21
351,20210315,15,2,708.8,1335,53.09
352,20210315,16,1,84.34,1053,8.01
353,20210316,9,2,120.31,879,13.69
354,20210316,10,2,211.89,1592,13.31
355,20210316,11,2,55.76,1133,4.92
356,20210316,12,2,98.7,1373,7.19
357,20210316,13,3,545.47,604,90.31
358,20210316,14,5,265.5,1402,18.94
359,20210316,15,1,56.96,775,7.35
360,20210317,8,1,69.18,1306,5.3
361,20210317,9,2,245.98,1073,22.92
362,20210317,10,3,321.99,704,45.74
363,20210317,11,1,102.61,992,10.34
364,20210317,13,2,175.99,1221,14.41
365,20210317,14,2,416.26,686,60.68
366,20210317,15,2,79.51,1403,5.67
367,20210317,17,1,90.98,1337,6.8
368,20210318,8,4,490.95,1376,35.68
369,20210318,9,3,101.81,748,13.61
370,20210318,10,2,153.39,1756,8.74
371,20210318,11,2,351.74,1486,23.67
372,20210318,12,2,97.11,1141,8.51
373,20210318,13,2,284.6,976,29.16
374,20210318,14,1,16.92,1046,1.62
375,20210318,15,1,82.64999999999999,823,10.04
376,20210318,17,1,158.60000000000002,1368,11.59
377,20210319,8,3,377.05,874,43.14
378,20210319,9,2,256.66,1770,14.5
379,20210319,10,3,231.39,710,32.59
380,20210319,11,2,244.14,1255,19.45
381,20210319,15,2,229.13,997,22.98
382,20210319,16,2,154.88,845,18.33
383,20210322,8,4,519.83,1452,35.8
384,20210322,10,2,132.85,1707,7.78
385,20210322,11,1,133.62,1620,8.25
386,20210322,13,3,508.92,1687,30.17
387,20210322,14,2,240.63,1719,14.0
388,20210322,15,2,178.01,1473,12.08
389,20210322,17,1,83.53,1656,5.04
390,20210323,8,3,282.49,1733,16.3
391,20210323,10,2,459.11,1383,33.2
392,20210323,11,4,674.33,1146,58.84
393,20210323,12,2,176.48000000000002,1557,11.33
394,20210323,13,3,159.89,964,16.59
395,20210323,14,1,42.790000000000006,1090,3.93
396,20210323,15,1,77.75999999999999,1390,5.59
397,20210323,16,1,46.74,1247,3.75
398,20210323,17,2,359.26,1329,27.03
399,20210324,8,1,18.51,1027,1.8
400,20210324,9,2,164.26,1156,14.21
401,20210324,10,1,31.96,1379,2.32
402,20210324,11,3,109.09,1514,7.21
403,20210324,12,1,147.93,1451,10.2
404,20210324,14,2,222.45,1114,19.97
405,20210324,16,1,148.47,935,15.88
406,20210324,17,1,302.84000000000003,1210,25.03
407,20210325,8,4,1102.43,1307,84.35
408,20210325,9,2,702.06,921,76.23
409,20210325,11,2,163.7,1222,13.4
410,20210325,12,1,104.69,716,14.62
411,20210325,13,3,528.39,1220,43.31
412,20210325,15,2,221.13,1668,13.26
413,20210325,16,1,68.94,811,8.5
414,20210326,8,5,868.7,1205,72.09
415,20210326,9,3,398.0,1530,26.01
416,20210326,10,1,52.16,1255,4.16
417,20210326,11,1,21.57,1099,1.96
418,20210326,13,2,453.69,792,57.28
419,20210326,14,3,384.23,1235,31.11
420,20210326,15,2,153.95999999999998,1270,12.12
421,20210329,8,2,351.51,1445,24.33
422,20210329,9,3,325.14,699,46.52
423,20210329,10,3,326.47,1535,21.27
424,20210329,11,1,20.79,1796,1.16
425,20210329,13,1,140.82999999999998,1115,12.63
426,20210329,14,2,43.5,1426,3.05
427,20210329,15,2,124.67,1276,9.77
428,20210330,8,1,18.16,1362,1.33
429,20210330,9,1,35.34,780,4.53
430,20210330,11,2,153.76,600,25.63
431,20210330,13,3,406.49,1365,29.78
432,20210330,14,4,497.88,792,62.86
433,20210330,15,3,262.43,1073,24.46
434,20210330,16,1,216.09,991,21.81
435,20210330,17,1,75.79,1622,4.67
436,20210331,9,3,287.06,744,38.58
437,20210331,10,3,155.74,744,20.93
438,20210331,11,2,185.09,601,30.8
439,20210331,12,1,128.25,956,13.42
440,20210331,13,3,231.94,1752,13.24
441,20210331,14,1,37.46,1034,3.62
442,20210331,15,3,637.22,1706,37.35
443,20210331,16,3,399.92,1092,36.62
444,20210401,9,2,165.88,1206,13.75
445,20210401,10,3,636.14,1614,39.41
446,20210401,11,3,168.99,1759,9.61
447,20210401,12,1,151.56,890,17.03
448,20210401,16,1,71.19,1604,4.44
449,20210402,8,1,27.61,1378,2.0
450,20210402,9,4,147.35,1293,11.4
451,20210402,10,4,370.2,1602,23.11
452,20210402,11,2,258.45,1324,19.52
453,20210402,13,2,219.76,677,32.46
454,20210402,14,2,215.1,1429,15.05
455,20210402,15,4,621.98,1159,53.67
456,20210402,16,1,93.19,815,11.43
457,20210405,8,4,600.31,1232,48.73
458,20210405,9,2,264.92,1723,15.38
459,20210405,10,2,304.85,1264,24.12
460,20210405,11,3,584.12,1351,43.24
461,20210405,12,1,131.8,1406,9.37
462,20210405,14,1,69.02,1227,5.63
463,20210405,15,1,36.88,1655,2.23
464,20210406,8,2,101.14,911,11.1
465,20210406,10,4,139.56,1800,7.75
466,20210406,13,3,66.26,1471,4.5
467,20210406,14,1,102.06,1000,10.21
468,20210406,15,3,604.38,1428,42.32
469,20210406,16,3,283.1,1471,19.25
470,20210407,8,2,63.49,1771,3.58
471,20210407,9,1,124.9,1637,7.63
472,20210407,10,1,108.82,1222,8.91
473,20210407,11,2,156.09,1607,9.71
474,20210407,12,1,20.89,1205,1.73
475,20210407,13,2,74.12,775,9.56
476,20210407,14,1,100.72,1040,9.68
477,20210407,15,4,623.63,1799,34.67
478,20210407,16,3,344.12,886,38.84
479,20210407,17,1,271.3,1200,22.61
480,20210408,8,1,95.06,1466,6.48
481,20210408,9,1,83.21,1565,5.32
482,20210408,11,1,148.32999999999998,1285,11.54
483,20210408,12,1,85.06,796,10.69
484,20210408,15,2,201.99,1120,18.03
485,20210408,16,1,675.22,614,109.97
486,20210409,8,4,292.1,1004,29.09
487,20210409,9,4,782.68,839,93.29
488,20210409,10,3,253.87,1796,14.14
489,20210409,11,3,301.13,1694,17.78
490,20210409,12,1,73.65,1166,6.32
491,20210409,13,1,222.98,1492,14.95
492,20210409,14,1,27.24,1428,1.91
493,20210409,15,2,211.27,1527,13.84
494,20210409,16,1,91.79,1689,5.43
495,20210412,8,1,65.56,935,7.01
496,20210412,9,1,52.78,911,5.79
497,20210412,10,2,85.42,1270,6.73
498,20210412,11,2,459.72,1391,33.05
499,20210412,12,1,25.59,1074,2.38
500,20210412,14,2,37.65,1532,2.46
501,20210412,15,1,77.58,1153,6.73
502,20210413,8,3,228.2,1033,22.09
503,20210413,9,1,108.28,990,10.94
504,20210413,10,1,36.870000000000005,1213,3.04
505,20210413,11,1,38.25,763,5.01
506,20210413,13,4,233.57,921,25.36
507,20210413,15,5,299.45,1106,27.08
508,20210414,8,3,193.86,933,20.78
509,20210414,9,1,28.47,1223,2.33
510,20210414,10,4,382.01,1032,37.02
511,20210414,11,1,82.43,1103,7.47
512,20210414,12,1,84.58,1164,7.27
513,20210414,13,3,290.28,1746,16.63
514,20210414,14,2,228.73,1773,12.9
515,20210414,15,1,83.58,1487,5.62
516,20210414,16,1,127.29,1784,7.14
517,20210415,8,2,200.48,793,25.28
518,20210415,9,3,465.0,1547,30.06
519,20210415,10,1,39.65,1140,3.48
520,20210415,11,1,36.19,1010,3.58
521,20210415,12,3,224.12,1066,21.02
522,20210415,13,3,301.18,1322,22.78
523,20210415,15,1,177.78,658,27.02
524,20210415,16,2,76.87,940,8.18
525,20210415,17,1,109.22,1152,9.48
526,20210416,8,3,253.78,1337,18.98
527,20210416,9,3,478.26,628,76.16
528,20210416,10,3,491.71,963,51.06
529,20210416,11,1,96.94,852,11.38
530,20210416,12,3,237.03,659,35.97
531,20210416,13,1,114.35,1013,11.29
532,20210416,14,1,65.9,1774,3.71
533,20210416,15,3,366.31,1696,21.6
534,20210419,8,6,595.67,910,65.46
535,20210419,9,1,352.56,744,47.39
536,20210419,10,2,101.39,669,15.16
537,20210419,13,1,50.81,612,8.3
538,20210419,15,4,375.65,1788,21.01
539,20210419,17,1,63.14,1650,3.83
540,20210420,8,2,165.66,1290,12.84
541,20210420,10,1,43.2,1641,2.63
542,20210420,11,1,149.57,663,22.56
543,20210420,12,2,155.41,1664,9.34
544,20210420,13,2,172.5,1303,13.24
545,20210420,16,2,334.16,1039,32.16
546,20210420,17,1,72.12,955,7.55
547,20210421,8,2,123.09,1518,8.11
548,20210421,9,2,68.06,1582,4.3
549,20210421,10,1,22.68,1122,2.02
550,20210421,11,1,153.97,1428,10.78
551,20210421,12,1,37.94,1612,2.35
552,20210421,13,1,80.28999999999999,771,10.41
553,20210422,9,1,0.0,1661,0.0
554,20210422,11,2,514.0,725,70.9
555,20210422,12,2,120.4,1299,9.27
556,20210422,13,3,306.21000000000004,832,36.8
557,20210422,14,2,178.56,1042,17.14
558,20210422,15,2,179.71,918,19.58
559,20210422,16,1,44.21,1440,3.07
560,20210423,8,1,162.18,762,21.28
561,20210423,10,1,23.24,1563,1.49
562,20210423,11,2,189.21,1567,12.07
563,20210423,14,2,233.58,1752,13.33
564,20210423,15,2,187.74,1103,17.02
565,20210423,16,1,152.13,1791,8.49
566,20210426,8,1,87.00999999999999,820,10.61
567,20210426,9,2,198.87,1590,12.51
568,20210426,11,2,252.01,1033,24.4
569,20210426,12,2,299.97,1309,22.92
570,20210426,13,2,136.84,1675,8.17
571,20210426,14,1,81.47,714,11.41
572,20210426,15,2,82.00999999999999,1215,6.75
573,20210426,16,2,216.87,603,35.97
574,20210427,8,1,222.26,754,29.48
575,20210427,9,2,275.63,1357,20.31
576,20210427,11,1,181.78,1356,13.41
577,20210427,12,2,264.1,828,31.9
578,20210427,15,2,119.83,1717,6.98
579,20210427,16,1,14.25,1722,0.83
580,20210428,8,1,49.73,1595,3.12
581,20210428,9,1,155.64,1401,11.11
582,20210428,10,4,586.28,1553,37.75
583,20210428,11,2,155.43,1431,10.86
584,20210428,12,1,57.84,1708,3.39
585,20210428,15,1,153.34,1794,8.55
586,20210428,16,1,454.93,723,62.92
587,20210429,8,2,407.5700000000001,1398,29.15
588,20210429,9,3,224.5,1635,13.73
589,20210429,10,1,179.26,995,18.02
590,20210429,11,3,352.83,876,40.28
591,20210429,12,3,374.2,793,47.19
592,20210429,13,1,69.85,1716,4.07
593,20210429,14,2,164.7,907,18.16
594,20210429,15,2,589.53,845,69.77
595,20210429,16,2,189.13,1571,12.04
596,20210430,8,3,361.31,756,47.79
597,20210430,10,2,136.64,1334,10.24
598,20210430,11,2,55.66,1568,3.55
599,20210430,12,2,111.96,1221,9.17
600,20210430,14,1,215.69,1755,12.29
601,20210430,16,3,220.06,678,32.46
602,20210503,8,1,114.91,826,13.91
603,20210503,9,2,272.6,1799,15.15
604,20210503,10,1,141.36,760,18.6
605,20210503,11,3,156.2,1129,13.84
606,20210503,12,1,82.3,1299,6.34
607,20210503,14,1,129.16,661,19.54
608,20210503,16,2,81.37,1314,6.19
609,20210504,8,2,199.79,737,27.11
610,20210504,9,3,174.17000000000002,757,23.01
611,20210504,10,2,48.53,1357,3.58
612,20210504,11,2,102.36,1453,7.04
613,20210504,12,3,167.37,650,25.75
614,20210504,13,1,100.78,627,16.07
615,20210504,15,3,216.3,1020,21.21
616,20210504,16,1,23.9,1563,1.53
617,20210504,17,2,109.58,1486,7.37
618,20210505,8,5,462.84,1356,34.13
619,20210505,9,2,165.89,917,18.09
620,20210505,10,2,324.12,1607,20.17
621,20210505,11,3,364.51,1794,20.32
622,20210505,12,2,102.34,1224,8.36
623,20210505,15,2,203.86,878,23.22
624,20210505,16,3,218.96,1108,19.76
625,20210506,8,2,149.01999999999998,891,16.73
626,20210506,12,4,511.01,1734,29.47
627,20210506,13,3,294.21,1374,21.41
628,20210506,14,1,115.41,1283,9.0
629,20210506,15,7,1080.54,1261,85.69
630,20210506,16,1,68.53,1543,4.44
631,20210506,17,1,38.05,1201,3.17
632,20210507,8,3,217.59,682,31.9
633,20210507,9,2,169.82999999999998,939,18.09
634,20210507,10,2,291.54,1326,21.99
635,20210507,14,1,210.49,1485,14.17
636,20210507,15,2,189.24,1189,15.92
637,20210507,16,1,231.26,1110,20.83
638,20210507,17,3,255.32,1260,20.26
639,20210510,8,1,85.16999999999999,974,8.74
640,20210510,9,2,134.36,1024,13.12
641,20210510,10,1,15.14,1523,0.99
642,20210510,12,2,348.82,957,36.45
643,20210510,13,1,47.5,811,5.86
644,20210510,15,3,150.94,1097,13.76
645,20210511,9,4,473.39,1062,44.58
646,20210511,10,3,272.05,1254,21.69
647,20210511,11,3,180.71,652,27.72
648,20210511,12,3,216.35,1231,17.58
649,20210511,13,1,35.64,829,4.3
650,20210511,14,2,254.2,1406,18.08
651,20210511,15,2,70.09,908,7.72
652,20210511,17,2,53.63,1558,3.44
653,20210512,8,2,218.16,939,23.23
654,20210512,9,1,90.43,695,13.01
655,20210512,10,2,150.35,857,17.54
656,20210512,12,1,258.96,1258,20.59
657,20210512,13,1,45.09,1117,4.04
658,20210512,15,1,36.88,1339,2.75
659,20210512,16,1,39.18,1288,3.04
660,20210512,17,1,122.36,1121,10.92
661,20210513,8,1,140.68,972,14.47
662,20210513,9,1,188.02,911,20.64
663,20210513,10,2,96.1,1293,7.43
664,20210513,11,2,305.37,833,36.66
